Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,6,symmetric,0.01,0.2641562494740821
75% Corpus,6,symmetric,0.31,0.2672853585169051
75% Corpus,6,symmetric,0.61,0.2803817444141164
75% Corpus,6,symmetric,0.9099999999999999,0.26600893309041945
75% Corpus,6,symmetric,symmetric,0.27080110985602307
75% Corpus,6,asymmetric,0.01,0.26277179134511774
75% Corpus,6,asymmetric,0.31,0.26820585683406833
75% Corpus,6,asymmetric,0.61,0.2724029055884862
75% Corpus,6,asymmetric,0.9099999999999999,0.2656458688485474
75% Corpus,6,asymmetric,symmetric,0.2644736568994851
75% Corpus,7,0.01,0.01,0.24986883888131897
75% Corpus,7,0.01,0.31,0.2850933466977271
75% Corpus,7,0.01,0.61,0.3012048434124987
75% Corpus,7,0.01,0.9099999999999999,0.37470048250669513
75% Corpus,7,0.01,symmetric,0.2544022799191489
75% Corpus,7,0.31,0.01,0.2543355651117659
75% Corpus,7,0.31,0.31,0.2850933466977271
75% Corpus,7,0.31,0.61,0.29999533745656143
75% Corpus,7,0.31,0.9099999999999999,0.37746400865468216
75% Corpus,7,0.31,symmetric,0.2566639763314574
75% Corpus,7,0.61,0.01,0.25200461088380216
75% Corpus,7,0.61,0.31,0.2850933466977271
75% Corpus,7,0.61,0.61,0.29997644054527395
75% Corpus,7,0.61,0.9099999999999999,0.3805702635547366
75% Corpus,7,0.61,symmetric,0.25471915841394044
75% Corpus,7,0.9099999999999999,0.01,0.24977033531115614
75% Corpus,7,0.9099999999999999,0.31,0.2850933466977271
75% Corpus,7,0.9099999999999999,0.61,0.2987835979328404
75% Corpus,7,0.9099999999999999,0.9099999999999999,0.3819689770066333
75% Corpus,7,0.9099999999999999,symmetric,0.2537605930278804
75% Corpus,7,symmetric,0.01,0.2543355651117659
75% Corpus,7,symmetric,0.31,0.2850933466977271
75% Corpus,7,symmetric,0.61,0.29999533745656143
75% Corpus,7,symmetric,0.9099999999999999,0.37746400865468216
75% Corpus,7,symmetric,symmetric,0.2568268789707529
75% Corpus,7,asymmetric,0.01,0.2501252996474475
75% Corpus,7,asymmetric,0.31,0.28541356252712063
75% Corpus,7,asymmetric,0.61,0.28895367899373225
75% Corpus,7,asymmetric,0.9099999999999999,0.3674225026447339
75% Corpus,7,asymmetric,symmetric,0.2517416120560589
75% Corpus,8,0.01,0.01,0.3030283448706199
75% Corpus,8,0.01,0.31,0.3128267676346257
75% Corpus,8,0.01,0.61,0.41679565340393193
75% Corpus,8,0.01,0.9099999999999999,0.3332408645596265
75% Corpus,8,0.01,symmetric,0.2987077644323046
75% Corpus,8,0.31,0.01,0.3030283448706199
75% Corpus,8,0.31,0.31,0.30433021915256087
75% Corpus,8,0.31,0.61,0.41574674612378926
75% Corpus,8,0.31,0.9099999999999999,0.3262997470675869
75% Corpus,8,0.31,symmetric,0.30038891402459367
75% Corpus,8,0.61,0.01,0.3011984487213447
75% Corpus,8,0.61,0.31,0.30433021915256087
75% Corpus,8,0.61,0.61,0.41413681358114407
75% Corpus,8,0.61,0.9099999999999999,0.3317472904930528
75% Corpus,8,0.61,symmetric,0.2995874207857244
75% Corpus,8,0.9099999999999999,0.01,0.3011984487213447
75% Corpus,8,0.9099999999999999,0.31,0.30631140846757987
75% Corpus,8,0.9099999999999999,0.61,0.4202390619249094
75% Corpus,8,0.9099999999999999,0.9099999999999999,0.3317472904930528
75% Corpus,8,0.9099999999999999,symmetric,0.29940213074472105
75% Corpus,8,symmetric,0.01,0.3030283448706199
75% Corpus,8,symmetric,0.31,0.3128267676346257
75% Corpus,8,symmetric,0.61,0.4172919134556939
75% Corpus,8,symmetric,0.9099999999999999,0.3332408645596265
75% Corpus,8,symmetric,symmetric,0.30038891402459367
75% Corpus,8,asymmetric,0.01,0.3014652570636557
75% Corpus,8,asymmetric,0.31,0.3232054700781265
75% Corpus,8,asymmetric,0.61,0.39596155621444873
75% Corpus,8,asymmetric,0.9099999999999999,0.3332408645596265
75% Corpus,8,asymmetric,symmetric,0.29554329231682774
75% Corpus,9,0.01,0.01,0.3097209544209363
75% Corpus,9,0.01,0.31,0.299900508306984
75% Corpus,9,0.01,0.61,0.3819649488987599
75% Corpus,9,0.01,0.9099999999999999,0.37472949692540997
75% Corpus,9,0.01,symmetric,0.3061686647130767
75% Corpus,9,0.31,0.01,0.31303198535396276
75% Corpus,9,0.31,0.31,0.29851585607659126
75% Corpus,9,0.31,0.61,0.3817193056694765
75% Corpus,9,0.31,0.9099999999999999,0.3714186745998925
75% Corpus,9,0.31,symmetric,0.30560506278311317
75% Corpus,9,0.61,0.01,0.3130319853539627
75% Corpus,9,0.61,0.31,0.29432521749860313
75% Corpus,9,0.61,0.61,0.38431669321952655
75% Corpus,9,0.61,0.9099999999999999,0.3736674231840466
75% Corpus,9,0.61,symmetric,0.30560506278311317
75% Corpus,9,0.9099999999999999,0.01,0.31019526016462723
75% Corpus,9,0.9099999999999999,0.31,0.29588117410671905
75% Corpus,9,0.9099999999999999,0.61,0.3837342267719142
75% Corpus,9,0.9099999999999999,0.9099999999999999,0.3736674231840466
75% Corpus,9,0.9099999999999999,symmetric,0.3090587213251997
75% Corpus,9,symmetric,0.01,0.3097209544209363
75% Corpus,9,symmetric,0.31,0.299900508306984
75% Corpus,9,symmetric,0.61,0.38111317796102623
75% Corpus,9,symmetric,0.9099999999999999,0.3714186745998925
75% Corpus,9,symmetric,symmetric,0.30930266244676824
75% Corpus,9,asymmetric,0.01,0.304375241310459
75% Corpus,9,asymmetric,0.31,0.29967781898394874
75% Corpus,9,asymmetric,0.61,0.38960258090705796
75% Corpus,9,asymmetric,0.9099999999999999,0.37599235278364307
75% Corpus,9,asymmetric,symmetric,0.3096441389185495
75% Corpus,10,0.01,0.01,0.31890382188827376
75% Corpus,10,0.01,0.31,0.32437831816282925
75% Corpus,10,0.01,0.61,0.30215054725912005
75% Corpus,10,0.01,0.9099999999999999,0.3211680209881702
75% Corpus,10,0.01,symmetric,0.32379632962123955
75% Corpus,10,0.31,0.01,0.3195404769403155
75% Corpus,10,0.31,0.31,0.3243585512267588
75% Corpus,10,0.31,0.61,0.30671590957564365
75% Corpus,10,0.31,0.9099999999999999,0.3242647341384465
75% Corpus,10,0.31,symmetric,0.3223785731603974
75% Corpus,10,0.61,0.01,0.32178495154209774
75% Corpus,10,0.61,0.31,0.32640585999076677
75% Corpus,10,0.61,0.61,0.3114911024742727
75% Corpus,10,0.61,0.9099999999999999,0.3230431610459411
75% Corpus,10,0.61,symmetric,0.3216121417077824
75% Corpus,10,0.9099999999999999,0.01,0.3192723934857991
75% Corpus,10,0.9099999999999999,0.31,0.32819787655203897
75% Corpus,10,0.9099999999999999,0.61,0.31112069949375104
75% Corpus,10,0.9099999999999999,0.9099999999999999,0.3242663115162737
75% Corpus,10,0.9099999999999999,symmetric,0.3192545881792078
75% Corpus,10,symmetric,0.01,0.31890382188827376
75% Corpus,10,symmetric,0.31,0.32437831816282925
75% Corpus,10,symmetric,0.61,0.30052877615773654
75% Corpus,10,symmetric,0.9099999999999999,0.3242647341384465
75% Corpus,10,symmetric,symmetric,0.32355927591753375
75% Corpus,10,asymmetric,0.01,0.31728195978514623
75% Corpus,10,asymmetric,0.31,0.32296146954789057
75% Corpus,10,asymmetric,0.61,0.30476909155455517
75% Corpus,10,asymmetric,0.9099999999999999,0.31547189273778276
75% Corpus,10,asymmetric,symmetric,0.32205313547186465
100% Corpus,2,0.01,0.01,0.2453623259615113
100% Corpus,2,0.01,0.31,0.24458915992015257
100% Corpus,2,0.01,0.61,0.24245519451859399
100% Corpus,2,0.01,0.9099999999999999,0.24245519451859393
100% Corpus,2,0.01,symmetric,0.24458915992015262
100% Corpus,2,0.31,0.01,0.2453623259615113
100% Corpus,2,0.31,0.31,0.24458915992015257
100% Corpus,2,0.31,0.61,0.24245519451859399
100% Corpus,2,0.31,0.9099999999999999,0.24245519451859396
100% Corpus,2,0.31,symmetric,0.24458915992015262
100% Corpus,2,0.61,0.01,0.2453623259615113
100% Corpus,2,0.61,0.31,0.24689949994738228
100% Corpus,2,0.61,0.61,0.24245519451859399
100% Corpus,2,0.61,0.9099999999999999,0.24245519451859399
100% Corpus,2,0.61,symmetric,0.24458915992015262
100% Corpus,2,0.9099999999999999,0.01,0.2457750854266745
100% Corpus,2,0.9099999999999999,0.31,0.24689949994738228
100% Corpus,2,0.9099999999999999,0.61,0.242455194518594
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.24245519451859399
100% Corpus,2,0.9099999999999999,symmetric,0.24458915992015257
100% Corpus,2,symmetric,0.01,0.2453623259615113
100% Corpus,2,symmetric,0.31,0.24689949994738228
100% Corpus,2,symmetric,0.61,0.24245519451859399
100% Corpus,2,symmetric,0.9099999999999999,0.24245519451859396
100% Corpus,2,symmetric,symmetric,0.24458915992015262
100% Corpus,2,asymmetric,0.01,0.2457750854266745
100% Corpus,2,asymmetric,0.31,0.24299976905890014
100% Corpus,2,asymmetric,0.61,0.242455194518594
100% Corpus,2,asymmetric,0.9099999999999999,0.24245519451859396
100% Corpus,2,asymmetric,symmetric,0.24245519451859393
100% Corpus,3,0.01,0.01,0.2497898381629261
100% Corpus,3,0.01,0.31,0.26456331476120554
100% Corpus,3,0.01,0.61,0.2606819260160057
100% Corpus,3,0.01,0.9099999999999999,0.25554934412979685
100% Corpus,3,0.01,symmetric,0.26424133439252134
100% Corpus,3,0.31,0.01,0.25270622609976595
100% Corpus,3,0.31,0.31,0.2638554083041031
100% Corpus,3,0.31,0.61,0.2606819260160057
100% Corpus,3,0.31,0.9099999999999999,0.25554934412979685
100% Corpus,3,0.31,symmetric,0.26424133439252134
100% Corpus,3,0.61,0.01,0.25270622609976595
100% Corpus,3,0.61,0.31,0.26385540830410303
100% Corpus,3,0.61,0.61,0.2606819260160057
100% Corpus,3,0.61,0.9099999999999999,0.25554934412979685
100% Corpus,3,0.61,symmetric,0.26424133439252134
100% Corpus,3,0.9099999999999999,0.01,0.25270622609976595
100% Corpus,3,0.9099999999999999,0.31,0.26385540830410303
100% Corpus,3,0.9099999999999999,0.61,0.26430036205240487
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.25554934412979685
100% Corpus,3,0.9099999999999999,symmetric,0.2645633147612055
100% Corpus,3,symmetric,0.01,0.25270622609976595
100% Corpus,3,symmetric,0.31,0.2638554083041031
100% Corpus,3,symmetric,0.61,0.2606819260160057
100% Corpus,3,symmetric,0.9099999999999999,0.25554934412979685
100% Corpus,3,symmetric,symmetric,0.26424133439252134
100% Corpus,3,asymmetric,0.01,0.2497898381629261
100% Corpus,3,asymmetric,0.31,0.26424133439252134
100% Corpus,3,asymmetric,0.61,0.26209557426577823
100% Corpus,3,asymmetric,0.9099999999999999,0.25554934412979685
100% Corpus,3,asymmetric,symmetric,0.26424133439252134
100% Corpus,4,0.01,0.01,0.2696637646855922
100% Corpus,4,0.01,0.31,0.274047228457888
100% Corpus,4,0.01,0.61,0.2783940901215556
100% Corpus,4,0.01,0.9099999999999999,0.2811203470482415
100% Corpus,4,0.01,symmetric,0.2756759542761612
100% Corpus,4,0.31,0.01,0.2696637646855922
100% Corpus,4,0.31,0.31,0.274047228457888
100% Corpus,4,0.31,0.61,0.2783940901215556
100% Corpus,4,0.31,0.9099999999999999,0.2830482157962945
100% Corpus,4,0.31,symmetric,0.2756759542761612
100% Corpus,4,0.61,0.01,0.2696637646855922
100% Corpus,4,0.61,0.31,0.274047228457888
100% Corpus,4,0.61,0.61,0.2797757256360635
100% Corpus,4,0.61,0.9099999999999999,0.2830482157962945
100% Corpus,4,0.61,symmetric,0.2756759542761612
100% Corpus,4,0.9099999999999999,0.01,0.2696637646855922
100% Corpus,4,0.9099999999999999,0.31,0.274047228457888
100% Corpus,4,0.9099999999999999,0.61,0.2797757256360635
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.28304821579629447
100% Corpus,4,0.9099999999999999,symmetric,0.2756759542761612
100% Corpus,4,symmetric,0.01,0.2696637646855922
100% Corpus,4,symmetric,0.31,0.274047228457888
100% Corpus,4,symmetric,0.61,0.2783940901215556
100% Corpus,4,symmetric,0.9099999999999999,0.2830482157962945
100% Corpus,4,symmetric,symmetric,0.2756759542761612
100% Corpus,4,asymmetric,0.01,0.2741134167825537
100% Corpus,4,asymmetric,0.31,0.27889058836941794
100% Corpus,4,asymmetric,0.61,0.2797757256360635
100% Corpus,4,asymmetric,0.9099999999999999,0.28304821579629447
100% Corpus,4,asymmetric,symmetric,0.2715173187581588
100% Corpus,5,0.01,0.01,0.25195209669701735
100% Corpus,5,0.01,0.31,0.26031557779775094
100% Corpus,5,0.01,0.61,0.2499909185878697
100% Corpus,5,0.01,0.9099999999999999,0.2623047042630654
100% Corpus,5,0.01,symmetric,0.2599261224329941
100% Corpus,5,0.31,0.01,0.2556401685054921
100% Corpus,5,0.31,0.31,0.26031557779775094
100% Corpus,5,0.31,0.61,0.2499909185878697
100% Corpus,5,0.31,0.9099999999999999,0.2623047042630654
100% Corpus,5,0.31,symmetric,0.2586323849102238
100% Corpus,5,0.61,0.01,0.2564186590864468
100% Corpus,5,0.61,0.31,0.26031557779775094
100% Corpus,5,0.61,0.61,0.24866786627671494
100% Corpus,5,0.61,0.9099999999999999,0.26230470426306535
100% Corpus,5,0.61,symmetric,0.25863238491022383
100% Corpus,5,0.9099999999999999,0.01,0.2564186590864468
100% Corpus,5,0.9099999999999999,0.31,0.26326486234898255
100% Corpus,5,0.9099999999999999,0.61,0.25128594194836074
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.2623047042630654
100% Corpus,5,0.9099999999999999,symmetric,0.25863238491022383
100% Corpus,5,symmetric,0.01,0.25195209669701735
100% Corpus,5,symmetric,0.31,0.26031557779775094
100% Corpus,5,symmetric,0.61,0.2499909185878697
100% Corpus,5,symmetric,0.9099999999999999,0.2623047042630654
100% Corpus,5,symmetric,symmetric,0.25851773846581544
100% Corpus,5,asymmetric,0.01,0.25564016850549215
100% Corpus,5,asymmetric,0.31,0.260315577797751
100% Corpus,5,asymmetric,0.61,0.25239072958510034
100% Corpus,5,asymmetric,0.9099999999999999,0.2560866442934101
100% Corpus,5,asymmetric,symmetric,0.25863238491022383
100% Corpus,6,0.01,0.01,0.26199029316066963
100% Corpus,6,0.01,0.31,0.2657829967966865
100% Corpus,6,0.01,0.61,0.2698071305051675
100% Corpus,6,0.01,0.9099999999999999,0.27082151205030863
100% Corpus,6,0.01,symmetric,0.2554285566317871
100% Corpus,6,0.31,0.01,0.26230117407147513
100% Corpus,6,0.31,0.31,0.2657829967966865
100% Corpus,6,0.31,0.61,0.2686489898229518
100% Corpus,6,0.31,0.9099999999999999,0.27333030030496114
100% Corpus,6,0.31,symmetric,0.2554285566317871
100% Corpus,6,0.61,0.01,0.2623359991968295
100% Corpus,6,0.61,0.31,0.2611320356475862
100% Corpus,6,0.61,0.61,0.2702037022524241
100% Corpus,6,0.61,0.9099999999999999,0.273330300304961
100% Corpus,6,0.61,symmetric,0.2554285566317871
100% Corpus,6,0.9099999999999999,0.01,0.26184624248771754
100% Corpus,6,0.9099999999999999,0.31,0.2639124248757441
100% Corpus,6,0.9099999999999999,0.61,0.26859566964118325
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.2711395737452167
100% Corpus,6,0.9099999999999999,symmetric,0.2554285566317871
100% Corpus,6,symmetric,0.01,0.262187616560317
100% Corpus,6,symmetric,0.31,0.2657829967966865
100% Corpus,6,symmetric,0.61,0.2686489898229518
100% Corpus,6,symmetric,0.9099999999999999,0.27333030030496114
100% Corpus,6,symmetric,symmetric,0.2554285566317871
100% Corpus,6,asymmetric,0.01,0.2585372698259978
100% Corpus,6,asymmetric,0.31,0.2630026075685285
100% Corpus,6,asymmetric,0.61,0.2698071305051675
100% Corpus,6,asymmetric,0.9099999999999999,0.26854021170372705
100% Corpus,6,asymmetric,symmetric,0.2569194458087945
100% Corpus,7,0.01,0.01,0.25561696978740317
100% Corpus,7,0.01,0.31,0.26111849907095014
100% Corpus,7,0.01,0.61,0.2646910966266652
100% Corpus,7,0.01,0.9099999999999999,0.319069408519226
100% Corpus,7,0.01,symmetric,0.260841527231063
100% Corpus,7,0.31,0.01,0.2560533988154314
100% Corpus,7,0.31,0.31,0.2615188438074716
100% Corpus,7,0.31,0.61,0.26512178902426975
100% Corpus,7,0.31,0.9099999999999999,0.3265923065417788
100% Corpus,7,0.31,symmetric,0.25969300233588516
100% Corpus,7,0.61,0.01,0.2560533988154314
100% Corpus,7,0.61,0.31,0.2615188438074716
100% Corpus,7,0.61,0.61,0.26512178902426975
100% Corpus,7,0.61,0.9099999999999999,0.3265923065417788
100% Corpus,7,0.61,symmetric,0.2593164457260351
100% Corpus,7,0.9099999999999999,0.01,0.2560533988154314
100% Corpus,7,0.9099999999999999,0.31,0.26399634350160867
100% Corpus,7,0.9099999999999999,0.61,0.2651217890242698
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.3265923065417788
100% Corpus,7,0.9099999999999999,symmetric,0.2593164457260351
100% Corpus,7,symmetric,0.01,0.2560533988154314
100% Corpus,7,symmetric,0.31,0.2615188438074716
100% Corpus,7,symmetric,0.61,0.26428120118995435
100% Corpus,7,symmetric,0.9099999999999999,0.323601881169591
100% Corpus,7,symmetric,symmetric,0.260841527231063
100% Corpus,7,asymmetric,0.01,0.2556169697874031
100% Corpus,7,asymmetric,0.31,0.25901630425821026
100% Corpus,7,asymmetric,0.61,0.2649918468424895
100% Corpus,7,asymmetric,0.9099999999999999,0.31891745793254656
100% Corpus,7,asymmetric,symmetric,0.25969300233588516
100% Corpus,8,0.01,0.01,0.26547055584018897
100% Corpus,8,0.01,0.31,0.2960161821227174
100% Corpus,8,0.01,0.61,0.32109801342477495
100% Corpus,8,0.01,0.9099999999999999,0.4279718146844335
100% Corpus,8,0.01,symmetric,0.27220561067477744
100% Corpus,8,0.31,0.01,0.2654630650240659
100% Corpus,8,0.31,0.31,0.2976765872345871
100% Corpus,8,0.31,0.61,0.32978967844848994
100% Corpus,8,0.31,0.9099999999999999,0.4307731694303445
100% Corpus,8,0.31,symmetric,0.2697913471691483
100% Corpus,8,0.61,0.01,0.26818516055966846
100% Corpus,8,0.61,0.31,0.2977499908799292
100% Corpus,8,0.61,0.61,0.33217248154819007
100% Corpus,8,0.61,0.9099999999999999,0.43287220055851294
100% Corpus,8,0.61,symmetric,0.2697297133354121
100% Corpus,8,0.9099999999999999,0.01,0.26682628610998455
100% Corpus,8,0.9099999999999999,0.31,0.29576880156491014
100% Corpus,8,0.9099999999999999,0.61,0.3236146712523681
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.43242772478031877
100% Corpus,8,0.9099999999999999,symmetric,0.2712648741222186
100% Corpus,8,symmetric,0.01,0.26241755842983827
100% Corpus,8,symmetric,0.31,0.2955443518792594
100% Corpus,8,symmetric,0.61,0.32556621490480836
100% Corpus,8,symmetric,0.9099999999999999,0.42797181468443357
100% Corpus,8,symmetric,symmetric,0.2697913471691483
100% Corpus,8,asymmetric,0.01,0.2649212066415909
100% Corpus,8,asymmetric,0.31,0.28312395634557985
100% Corpus,8,asymmetric,0.61,0.3292209479981514
100% Corpus,8,asymmetric,0.9099999999999999,0.35437453344294556
100% Corpus,8,asymmetric,symmetric,0.2717487315118122
100% Corpus,9,0.01,0.01,0.2790831751202136
100% Corpus,9,0.01,0.31,0.2831165405883227
100% Corpus,9,0.01,0.61,0.37081073553713767
100% Corpus,9,0.01,0.9099999999999999,0.40750836909517846
100% Corpus,9,0.01,symmetric,0.2704493915475043
100% Corpus,9,0.31,0.01,0.2790831751202136
100% Corpus,9,0.31,0.31,0.28428417655243454
100% Corpus,9,0.31,0.61,0.36480194735272903
